,CIK,Company Name,Form Type,Date Filed,Filename,URL
1224,75362,PACCAR INC,10-K,2017-02-21,edgar/data/75362/0001193125-17-050405.txt,https://www.sec.gov/Archives/edgar/data/75362/000119312517050405/d283100d10k.htm
1225,75677,PACKAGING CORP OF AMERICA,10-K,2017-02-28,edgar/data/75677/0000075677-17-000004.txt,https://www.sec.gov/Archives/edgar/data/75677/000007567717000004/pkg1231201610k.htm
1226,759944,CITIZENS FINANCIAL GROUP INC/RI,10-K,2017-02-24,edgar/data/759944/0000759944-17-000012.txt,https://www.sec.gov/Archives/edgar/data/759944/000075994417000012/citizens10-kx2016.htm
1227,764180,"ALTRIA GROUP, INC.",10-K,2017-02-27,edgar/data/764180/0000764180-17-000028.txt,https://www.sec.gov/Archives/edgar/data/764180/000076418017000028/a2016form10-k.htm
1228,764478,BEST BUY CO INC,10-K,2017-03-24,edgar/data/764478/0000764478-17-000008.txt,https://www.sec.gov/Archives/edgar/data/764478/000076447817000008/bby-2017x10k.htm
1229,764622,PINNACLE WEST CAPITAL CORP,10-K,2017-02-24,edgar/data/764622/0000764622-17-000010.txt,https://www.sec.gov/Archives/edgar/data/764622/000076462217000010/pnw2016123110-k.htm
1230,765880,"HCP, INC.",10-K,2017-02-13,edgar/data/765880/0001558370-17-000535.txt,https://www.sec.gov/Archives/edgar/data/765880/000155837017000535/hcp-20161231x10k.htm
1231,766421,"ALASKA AIR GROUP, INC.",10-K,2017-02-28,edgar/data/766421/0000766421-17-000016.txt,https://www.sec.gov/Archives/edgar/data/766421/000076642117000016/alk10-k123116.htm
1232,766704,WELLTOWER INC.,10-K,2017-02-22,edgar/data/766704/0000766704-17-000012.txt,https://www.sec.gov/Archives/edgar/data/766704/000076670417000012/10-k.htm
1233,769397,AUTODESK INC,10-K,2017-03-21,edgar/data/769397/0000769397-17-000014.txt,https://www.sec.gov/Archives/edgar/data/769397/000076939717000014/adsk-0131201710xk.htm
1234,77360,PENTAIR plc,10-K,2017-02-21,edgar/data/77360/0000077360-17-000008.txt,https://www.sec.gov/Archives/edgar/data/77360/000007736017000008/a2016pnr-10k.htm
1235,773840,HONEYWELL INTERNATIONAL INC,10-K,2017-02-10,edgar/data/773840/0000930413-17-000391.txt,https://www.sec.gov/Archives/edgar/data/773840/000093041317000391/c86783_10k.htm
1236,77476,PEPSICO INC,10-K,2017-02-15,edgar/data/77476/0000077476-17-000010.txt,https://www.sec.gov/Archives/edgar/data/77476/000007747617000010/pepsico201610-k.htm
1237,78003,PFIZER INC,10-K,2017-02-23,edgar/data/78003/0000078003-17-000014.txt,https://www.sec.gov/Archives/edgar/data/78003/000007800317000014/pfe-12312016x10kshell.htm
1238,78239,PVH CORP. /DE/,10-K,2017-03-24,edgar/data/78239/0000078239-17-000009.txt,https://www.sec.gov/Archives/edgar/data/78239/000007823917000009/pvh10k2016.htm
1239,783280,DUKE REALTY CORP,10-K,2017-02-17,edgar/data/783280/0000783280-17-000012.txt,https://www.sec.gov/Archives/edgar/data/783280/000078328017000012/a10k2016.htm
1240,783325,"WEC ENERGY GROUP, INC.",10-K,2017-02-28,edgar/data/783325/0000107815-17-000104.txt,https://www.sec.gov/Archives/edgar/data/783325/000010781517000104/wec1231201610-k.htm
1241,788784,PUBLIC SERVICE ENTERPRISE GROUP INC,10-K,2017-02-27,edgar/data/788784/0000788784-17-000003.txt,https://www.sec.gov/Archives/edgar/data/788784/000078878417000003/pseg201610kq4.htm
1242,789570,MGM Resorts International,10-K,2017-03-01,edgar/data/789570/0001564590-17-003007.txt,https://www.sec.gov/Archives/edgar/data/789570/000156459017003007/mgm-10k_20161231.htm
1243,796343,ADOBE SYSTEMS INC,10-K,2017-01-20,edgar/data/796343/0000796343-17-000031.txt,https://www.sec.gov/Archives/edgar/data/796343/000079634317000031/adbe10kfy16.htm
1244,797468,OCCIDENTAL PETROLEUM CORP /DE/,10-K,2017-02-23,edgar/data/797468/0000797468-17-000003.txt,https://www.sec.gov/Archives/edgar/data/797468/000079746817000003/oxy10k12-31x2016.htm
1245,798354,FISERV INC,10-K,2017-02-23,edgar/data/798354/0000798354-17-000006.txt,https://www.sec.gov/Archives/edgar/data/798354/000079835417000006/fisv1231201610-k.htm
1246,79879,PPG INDUSTRIES INC,10-K,2017-02-16,edgar/data/79879/0000079879-17-000009.txt,https://www.sec.gov/Archives/edgar/data/79879/000007987917000009/ppg201610k.htm
1247,804753,CERNER CORP /MO/,10-K,2017-02-10,edgar/data/804753/0000804753-17-000004.txt,https://www.sec.gov/Archives/edgar/data/804753/000080475317000004/a201610-k.htm
1248,80661,PROGRESSIVE CORP/OH/,10-K,2017-03-01,edgar/data/80661/0000080661-17-000012.txt,https://www.sec.gov/Archives/edgar/data/80661/000008066117000012/pgr-20161231x10k.htm
1249,811156,CMS ENERGY CORP,10-K,2017-02-07,edgar/data/811156/0001104659-17-006823.txt,https://www.sec.gov/Archives/edgar/data/811156/000110465917006823/a17-1055_110k.htm
1250,813672,CADENCE DESIGN SYSTEMS INC,10-K,2017-02-10,edgar/data/813672/0000813672-17-000006.txt,https://www.sec.gov/Archives/edgar/data/813672/000081367217000006/cdns1231201610-k.htm
1251,813828,CBS CORP,10-K,2017-02-17,edgar/data/813828/0000813828-17-000005.txt,https://www.sec.gov/Archives/edgar/data/813828/000081382817000005/cbs_10k-123116.htm
1252,814453,NEWELL BRANDS INC,10-K,2017-03-01,edgar/data/814453/0000814453-17-000027.txt,https://www.sec.gov/Archives/edgar/data/814453/000081445317000027/nwl-12312016x10k.htm
1253,815097,CARNIVAL CORP,10-K,2017-01-30,edgar/data/815097/0000815097-17-000001.txt,https://www.sec.gov/Archives/edgar/data/815097/000081509717000001/a2016form10-kfrontpart.htm
1254,815556,FASTENAL CO,10-K,2017-02-06,edgar/data/815556/0000815556-17-000009.txt,https://www.sec.gov/Archives/edgar/data/815556/000081555617000009/fast1231201610-k.htm
1255,818479,DENTSPLY SIRONA Inc.,10-K,2017-03-01,edgar/data/818479/0000818479-17-000007.txt,https://www.sec.gov/Archives/edgar/data/818479/000081847917000007/dentsplysirona201610-k.htm
1256,820027,AMERIPRISE FINANCIAL INC,10-K,2017-02-23,edgar/data/820027/0000820027-17-000007.txt,https://www.sec.gov/Archives/edgar/data/820027/000082002717000007/ameriprisefinancial12312016.htm
1257,820313,AMPHENOL CORP /DE/,10-K,2017-02-17,edgar/data/820313/0001558370-17-000659.txt,https://www.sec.gov/Archives/edgar/data/820313/000155837017000659/aph-20161231x10k.htm
1258,821189,EOG RESOURCES INC,10-K,2017-02-27,edgar/data/821189/0000821189-17-000017.txt,https://www.sec.gov/Archives/edgar/data/821189/000082118917000017/a2016123110-k.htm
