,sustainability,sustainable,renewable,climate change,green energy,carbon neutral,greening,clean energy,esg,greenhouse gas,recycle,circular economy,zero emissions,environmentally friendly,URL
85,0,1,0,1,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1138118/000119312515073030/d837146d10k.htm
86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1140536/000114053615000003/willisgroup10-k2014.htm
87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1141391/000114139115000011/ma12312014-10xk.htm
88,0,0,1,2,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/11544/000001154415000010/wrb1231201410k.htm
89,0,1,0,0,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1156039/000115603915000003/antm-20141231x10k.htm
90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1156375/000115637515000014/cme-2014123110k.htm
91,0,0,0,3,0,0,0,0,0,1,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1158449/000115844915000063/aap_10kx132015.htm
92,3,2,0,10,0,0,0,1,0,2,1,0,0,0,https://www.sec.gov/Archives/edgar/data/1163165/000119312515059281/d869001d10k.htm
93,5,6,0,9,0,0,0,3,0,6,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1164727/000156459015000777/nem-10k_20141231.htm
94,0,0,0,1,0,0,0,0,0,1,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1166691/000119312515068526/d817352d10k.htm
95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1174922/000117492215000021/wrl-20141231x10k.htm
96,0,0,1,0,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1175454/000119312515073581/d831300d10k.htm
97,1,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/12208/000001220815000012/a10k123114.htm
98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1262039/000126203915000009/ftnt-201410k.htm
99,0,0,1,2,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1267238/000119312515054288/d871105d10k.htm
100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1278021/000156459015000953/mktx-10k_20141231.htm
101,0,0,0,1,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1281761/000128176115000022/rf-20141231x10k.htm
102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1283699/000128369915000010/tmus12312014form10-k.htm
103,8,1,3,27,0,0,0,0,0,21,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1285785/000161803415000005/mos-20141231x10k.htm
104,0,1,0,0,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1286681/000119312515059100/d866504d10k.htm
105,0,1,0,0,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1289490/000119312515073584/d851024d10k.htm
106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/12927/000001292715000011/a201412dec3110k.htm
107,0,2,0,11,0,0,0,2,0,1,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1297996/000129799615000010/dlr12311410k.htm
108,1,1,2,0,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1300514/000130051415000005/lvs-20141231x10k.htm
109,0,1,0,6,0,0,0,0,0,6,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1306830/000130683015000022/ce-20141231x10k.htm
110,0,0,7,1,0,0,0,0,0,6,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1324404/000162828015001077/cf-12312014x10k.htm
111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1324424/000119312515035706/d838066d10k.htm
112,0,0,60,5,0,0,0,1,0,2,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1326160/000132616015000008/duk-20141231x10k.htm
113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1326801/000132680115000006/fb-12312014x10k.htm
114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1335258/000133525815000026/lyv-20141231x10k.htm
115,0,0,0,1,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1336917/000133691715000006/ua-20141231x10k.htm
116,2,0,17,2,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1336920/000133692015000010/ldos-1302015x10k.htm
117,0,0,0,2,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1358071/000135807115000005/Form_10_K.htm
118,1,2,1,0,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1359841/000135984115000039/hbi-20150103x10k.htm
119,0,0,1,0,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1364742/000119312515069955/d822114d10k.htm
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1365135/000136513515000008/wu-12312014x10k.htm
121,0,2,0,0,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1373715/000137371515000067/now-20141231x10k.htm
122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1374310/000137431015000005/cboe-1231201410k.htm
123,0,1,1,0,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1378946/000119312515073217/d837282d10k.htm
124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1390777/000162828015001194/bk201410-k.htm
125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1393311/000139331115000005/psa-20141231x10k.htm
126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1393612/000139361215000007/dfs1231201410k.htm
127,0,0,0,7,0,0,0,0,0,3,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1396009/000139600915000005/vmc-20141231x10k.htm
128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1402057/000140205715000003/cdw-20141231x10k.htm
129,1,0,1,1,0,0,0,0,97,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1408198/000119312515069699/d832959d10k.htm
130,2,1,0,3,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1410636/000156459015000905/awk-10k_20141231.htm
131,0,0,0,5,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1413329/000141332915000016/pm12312014form10kwrapinclf.htm
132,0,1,0,0,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1418091/000156459015001159/twtr-10k_20141231.htm
133,3,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/14272/000001427215000055/bmy-20141231x10xk.htm
134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1437107/000143710715000004/disca-2014123110k.htm
135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1442145/000144214515000011/vrsk10k12312014.htm
136,0,3,0,4,0,0,0,0,0,3,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1466258/000146625815000045/ir-10kx12312014.htm
137,1,0,4,0,0,0,0,0,0,7,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1467858/000146785815000036/gm201410k.htm
138,0,1,0,0,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1478242/000119312515045845/d831296d10k.htm
139,0,0,4,4,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1489393/000095012315003039/d860940d10k.htm
140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1492633/000156459015000780/nlsnnv-10k_20141231.htm
141,0,1,0,2,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1501585/000150158515000005/hii201410-k.htm
142,0,0,1,7,0,0,0,0,0,17,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1506307/000150630715000014/kmi-2014x10k.htm
143,0,0,25,6,0,0,0,0,0,26,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1510295/000151029515000007/mpc-20141231x10k.htm
144,0,1,0,0,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1513761/000157104915001498/t1500098_10k.htm
145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1519751/000119312515062500/d852986d10k.htm
146,0,1,0,2,0,0,0,0,0,1,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1521332/000152133215000014/dlph1231201410k.htm
147,1,0,0,2,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1524472/000152447215000006/xyl1231201410k.htm
148,1,0,17,8,0,0,0,0,0,4,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1534701/000153470115000038/psx-20141231_10k.htm
